Estación:       RIO TOMATLAN,  JAL
Operada por:    SMN EMAS
Longitud:       105°08'00"  Latitud: 19°59'54"  Altitud: 141

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RAD-SOL
28/01/2019 18:00        12        18      0.33      7.80      25.2        74     996.7       0.0     829.2
28/01/2019 19:00       341       356      0.33     11.80      27.0        68     995.8       0.0     808.2
28/01/2019 20:00       317       307      1.45     21.00      28.5        62     994.8       0.0     794.8
28/01/2019 21:00       305       324      1.22     29.10      29.0        59     994.2       0.0     718.5
28/01/2019 22:00       164       154      9.50     27.80      28.2        60     994.0       0.0     501.2
28/01/2019 23:00       161       167      4.26     24.60      27.2        62     994.2       0.0     162.0
29/01/2019 00:00       156       147      4.88     25.00      25.6        66     994.7       0.0      41.0
29/01/2019 01:00         0       178      0.00      0.00      24.4        69     995.5       0.0       0.3
29/01/2019 02:00         0       177      0.00      0.00      23.6        73     996.3       0.0       0.0
29/01/2019 03:00         0       171      0.00      0.00      22.9        78     997.2       0.0       0.0
29/01/2019 04:00         0       167      0.00      0.00      23.1        80     997.3       0.0       0.0
29/01/2019 05:00         0        90      0.00      0.00      22.7        83     997.2       0.0       0.0
29/01/2019 06:00        54        54      0.10     13.50      22.7        85     996.8       0.0       0.0
29/01/2019 07:00         0        12      0.00      0.00      22.5        87     996.2       0.0       0.0
29/01/2019 08:00         0        27      0.00      0.00      21.6        88     995.9       0.0       0.0
29/01/2019 09:00         0       232      0.00      0.00      19.8        91     995.8       0.0       0.0
29/01/2019 10:00         0       163      0.00      0.00      19.6        93     995.9       0.0       0.0
29/01/2019 11:00         0       293      0.00      0.00      20.0        94     996.1       0.0       0.0
29/01/2019 12:00        42        43      1.79     16.60      20.0        94     995.9       0.0       0.0
29/01/2019 13:00        44        42      0.08     12.90      19.6        94     995.9       0.0       1.5
29/01/2019 14:00        61        63      1.33     11.70      19.5        94     996.1       0.0     109.5
29/01/2019 15:00        59        56      0.35     12.10      20.5        91     996.6       0.0     339.3
29/01/2019 16:00         0       318      0.00      2.90      21.7        87     996.9       0.0     557.7
29/01/2019 17:00         0       324      0.00      8.10      23.3        84     996.9       0.0     704.3
29/01/2019 18:00       351       340      0.02      6.10      25.3        81     996.4       0.0     637.8
29/01/2019 19:00         0       353      0.00      0.00      25.9        77     995.3       0.0     902.0
29/01/2019 20:00       189       166      0.02      7.20      27.9        71     994.2       0.0     876.3
29/01/2019 21:00       172       161      3.22     28.60      28.7        64     993.3       0.0     731.7
29/01/2019 22:00       158       158      7.24     27.20      27.7        64     993.3       0.0     510.5
29/01/2019 23:00       165       163      7.30     24.10      26.5        65     993.8       0.0     197.2
30/01/2019 00:00       166       156      2.82     25.30      24.8        69     994.2       0.0      34.7
30/01/2019 01:00         0       166      0.00      9.50      23.5        74     994.7       0.0       0.0
30/01/2019 02:00         0       319      0.00      0.00      23.1        78     995.3       0.0       0.0
30/01/2019 03:00       178       187      1.07     13.10      22.5        80     995.9       0.0       0.0
30/01/2019 04:00         0       184      0.00     12.90      21.9        84     996.5       0.0       0.0
30/01/2019 05:00         0       190      0.00      0.00      22.0        85     996.4       0.0       0.0
30/01/2019 06:00         0       173      0.00      0.00      21.0        88     996.0       0.0       0.0
30/01/2019 07:00         0        61      0.00      0.00      21.3        90     995.9       0.0       0.0
30/01/2019 08:00         0       149      0.00      0.00      21.1        92     995.7       0.0       0.0
30/01/2019 09:00         0        73      0.00      0.00      20.6        93     995.3       0.0       0.0
30/01/2019 10:00         0       177      0.00      0.00      18.5        94     995.3       0.0       0.0
30/01/2019 11:00         0       178      0.00      0.00      19.3        96     995.6       0.0       0.0
30/01/2019 12:00        41        37      1.82     16.00      19.5        96     996.2       0.0       0.0
30/01/2019 13:00        46        63      2.06     18.50      19.0        94     996.8       0.0       1.3
30/01/2019 14:00        36       343      0.39     14.20      18.6        92     997.6       0.0     115.0
30/01/2019 15:00         0        19      0.00      0.00      19.7        91     998.7       0.0     354.2
30/01/2019 16:00       355       328      0.05      6.40      20.8        86     999.4       0.0     575.5
30/01/2019 17:00         0        40      0.00      2.10      22.6        81     999.0       0.0     744.8
30/01/2019 18:00         4       349      0.05      4.10      24.0        75     998.3       0.0     841.8
30/01/2019 19:00       343       354      1.50     15.20      25.9        65     997.1       0.0     875.7
30/01/2019 20:00         0       347      0.00     11.00      28.2        52     995.8       0.0     823.2
30/01/2019 21:00       162       173      0.37     11.40      29.3        44     994.8       0.0     698.2
30/01/2019 22:00       171       157      2.88     22.70      29.5        42     994.3       0.0     515.3
30/01/2019 23:00       173       168      1.67     22.30      28.2        42     994.2       0.0     161.7
31/01/2019 00:00         0       178      0.00      0.00      26.4        46     995.0       0.0      18.7
31/01/2019 01:00         0       166      0.00      0.00      24.3        54     995.4       0.0       0.0
31/01/2019 02:00         0       204      0.00      0.00      23.0        60     996.0       0.0       0.0
31/01/2019 03:00         0       180      0.00      0.00      21.7        66     997.1       0.0       0.0
31/01/2019 04:00         0       158      0.00      0.00      21.6        72     997.4       0.0       0.0
31/01/2019 05:00        85        67      1.27     17.00      21.5        76     997.5       0.0       0.0
31/01/2019 06:00         0        75      0.00     13.80      21.2        77     997.7       0.0       0.0
31/01/2019 07:00        56        42      0.44     15.50      20.7        81     997.7       0.0       0.0
31/01/2019 08:00        50        65      2.13     15.70      20.4        84     997.5       0.0       0.0
31/01/2019 09:00        52        57      9.74     22.30      20.4        86     996.9       0.0       0.0
31/01/2019 10:00        59        48      0.40     17.10      20.6        87     996.8       0.0       0.0
31/01/2019 11:00         0        67      0.00      0.00      19.6        88     997.4       0.0       0.0
31/01/2019 12:00         0       320      0.00      0.00      19.7        90     998.0       0.0       0.0
31/01/2019 13:00         0        64      0.00      0.00      19.5        90     998.4       0.0       2.0
31/01/2019 14:00        59        60      2.73     18.60      20.2        91     998.8       0.0     120.3
31/01/2019 15:00        61        54      0.73     16.50      21.0        90     999.3       0.0     335.7
31/01/2019 16:00         0        45      0.00      0.00      23.1        85     999.8       0.0     583.7
31/01/2019 17:00         0        70      0.00      0.00      24.9        78     999.9       0.0     719.5
31/01/2019 18:00         0        33      0.00      0.00      26.0        73     999.2       0.0     675.7
31/01/2019 19:00         0       339      0.00      0.00      26.9        68     998.1       0.0     826.3
31/01/2019 20:00         0        15      0.00      0.00      28.1        59     996.9       0.0     772.8
31/01/2019 21:00       327       328      0.30     20.40      28.1        55     996.1       0.0     363.2
31/01/2019 22:00       303       326      1.02     18.80      28.2        54     995.8       0.0     425.3
31/01/2019 23:00       160       159      6.24     28.10      27.8        46     995.1       0.0     180.0
01/02/2019 00:00         0       145      0.00     13.40      26.2        49     995.7       0.0      19.3
01/02/2019 01:00         0       273      0.00      0.00      24.8        58     996.7       0.0       0.0
01/02/2019 02:00         0       191      0.00      0.00      23.3        64     997.4       0.0       0.0
01/02/2019 03:00         0       316      0.00      0.00      22.3        70     998.0       0.0       0.0
01/02/2019 04:00         0        59      0.00      2.90      21.8        72     998.2       0.0       0.0
01/02/2019 05:00         0       183      0.00      0.00      20.4        75     998.5       0.0       0.0
01/02/2019 06:00         0       196      0.00      0.00      20.4        78     998.2       0.0       0.0
01/02/2019 07:00        67        58      1.49     16.60      21.1        78     997.8       0.0       0.0
01/02/2019 08:00        64        65      1.97     16.50      20.4        81     997.5       0.0       0.0
01/02/2019 09:00                                                          81     997.2                 0.0
01/02/2019 10:00
