X Lag Time	Record 465: pH 2.6 BSA 5 mg 1
0.5	0.765
1	0.752
1.5	0.729
2	0.704
2.5	0.682
3	0.662
3.5	0.642
4	0.621
4.5	0.604
5.5	0.57
6.5	0.538
7.5	0.508
8.5	0.481
9.5	0.455
10.5	0.433
11.5	0.411
12.5	0.391
14.5	0.357
16.5	0.326
18.5	0.299
20.5	0.276
22.5	0.257
24.5	0.239
26.5	0.225
28.5	0.211
32.5	0.188
36.5	0.17
40.5	0.155
44.5	0.143
48.5	0.134
52.5	0.125
56.5	0.118
60.5	0.113
68.5	0.103
76.5	0.095
84.5	0.0882
92.5	0.0836
101	0.08
109	0.0767
117	0.0728
125	0.0704
141	0.0661
157	0.0626
173	0.0599
189	0.058
205	0.0552
221	0.0537
237	0.0526
253	0.0512
285	0.0484
317	0.0456
349	0.0452
381	0.0441
413	0.0429
445	0.0422
477	0.0413
509	0.0407
573	0.0404
637	0.0387
701	0.0379
765	0.0374
829	0.0368
893	0.0359
957	0.0351
1020	0.0345
1150	0.0334
1280	0.0323
1400	0.0316
1530	0.031
1660	0.0307
1790	0.0297
1920	0.0293
2040	0.0288
2300	0.0276
2560	0.0273
2810	0.0259
3070	0.0257
3320	0.0251
3580	0.0245
3840	0.0244
4090	0.0244
4600	0.0235
5120	0.0233
5630	0.0227
6140	0.0217
6650	0.0211
7160	0.0211
7680	0.0206
8190	0.0201
9210	0.0199
10200	0.0188
11300	0.0187
12300	0.0186
13300	0.0185
14300	0.0176
15400	0.0169
16400	0.0161
18400	0.015
20500	0.0147
22500	0.0143
24600	0.0137
26600	0.0143
28700	0.0151
30700	0.0159
32800	0.0163
36900	0.0171
41000	0.0175
45100	0.0169
49100	0.0163
53200	0.0153
57300	0.0141
61400	0.0144
65500	0.0143
73700	0.0135
81900	0.0141
90100	0.0145
98300	0.0146
106000	0.0135
115000	0.0127
123000	0.0115
131000	0.0116
147000	0.0102
164000	0.00995
180000	0.00953
197000	0.00824
213000	0.00818
229000	0.00659
246000	0.00569
262000	0.0058
295000	0.00532
328000	0.00398
360000	0.00317
393000	0.00317
426000	0.00244
459000	0.00243
492000	0.00169
524000	8.37E-4
590000	0.00137
655000	8.29E-4
721000	0.00148
786000	0.00188
852000	0.00187
918000	0.00177
983000	0.0015
1.05E6	3.08E-4
1.18E6	5.7E-4
1.31E6	1.01E-4
1.44E6	0.00108
1.57E6	0.00445
1.7E6	0.00766
1.84E6	0.00861
1.97E6	0.00861
2.1E6	0.00347
2.36E6	0.00568
2.62E6	0.00776
2.88E6	0.00796
3.15E6	0.00632
3.41E6	0.00284
3.67E6	0.00164
3.93E6	0.00144
4.19E6	0
4.72E6	0
5.24E6	0
5.77E6	0
6.29E6	0
6.82E6	0
7.34E6	0
7.86E6	0
8.39E6	0
9.44E6	0
1.05E7	0
1.15E7	0
1.26E7	0
1.36E7	0
1.47E7	0
1.57E7	0
1.68E7	0
1.89E7	0
2.1E7	0
2.31E7	0
2.52E7	0
2.73E7	0
2.94E7	0
3.15E7	0
3.36E7	0
3.77E7	0
4.19E7	0
4.61E7	0
5.03E7	0
5.45E7	0
5.87E7	0
